image_path,dataset_source,split,folder_label,super_label,is_skin,image_quality,brightness_mean,contrast_std,width,height,needs_review,label_source,label_status,human_verified
../archive (3)/IMG_20230624_095822.jpg,../archive (3),train,normal_skin,normal_skin,yes,poor,138.63,8.14,1103,1390,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/e2345344f.jpg,../archive (3),test,normal_skin,normal_skin,yes,fair,176.50,20.78,683,616,no,dataset_override_normal_skin,auto_complete,no
../archive (3)/sdcvzx.jpg,../archive (3),train,normal_skin,normal_skin,yes,fair,157.76,23.17,572,447,no,dataset_override_normal_skin,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/07PerioralDermEye.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,116.82,19.12,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/07RosaceaOK0828063.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,82.93,24.28,480,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/07VascularFace0120.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,117.87,17.35,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/07rhnophymas0321051.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,53.44,22.85,480,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/07sebDerem1101051.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,112.57,24.99,720,480,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/Hidradenitis-Suppurativa-Areola-2.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,150.15,22.74,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-closed-comedo-21.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,155.95,21.72,720,466,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-closed-comedo-22.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,138.11,22.21,466,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-closed-comedo-26.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,141.85,25.36,720,474,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-closed-comedo-4.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,129.00,19.99,720,474,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-cystic-128.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,141.07,22.51,720,470,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-cystic-19.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,116.30,23.58,720,480,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-cystic-30.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,120.72,20.46,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-cystic-46.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,130.78,18.38,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-cystic-61.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,105.58,22.91,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-cystic-86.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,135.97,24.21,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-cystic-89.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,145.41,19.06,720,465,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-cystic-92.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,143.13,21.33,720,473,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-cystic-98.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,192.96,16.80,720,464,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-excoriated-18.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,51.93,43.16,479,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-excoriated-8.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,127.59,22.07,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-10.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,92.25,19.61,472,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-12.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,101.60,16.84,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-15.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,53.51,33.95,720,480,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-16.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,88.91,14.05,720,480,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-26.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,123.60,21.32,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-30.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,150.36,17.53,720,464,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-33.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,161.92,9.63,720,469,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-48.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,128.94,23.72,482,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-58.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,160.83,9.36,720,468,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-62.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,130.74,16.49,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-69.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,112.68,15.30,472,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-open-comedo-72.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,135.37,20.00,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-pustular-20.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,127.90,23.06,480,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-pustular-22.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,108.89,15.51,720,480,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-pustular-26.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,139.17,20.90,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-pustular-37.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,150.05,23.20,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-pustular-51.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,152.32,12.61,720,470,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-pustular-59.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,103.45,12.13,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/acne-scar-5.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,103.26,15.36,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/fordyce-spots-1.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,138.80,21.29,720,474,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/fordyce-spots-3.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,87.42,13.66,720,504,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-12.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,82.86,18.81,480,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-14.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,107.53,25.76,480,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-25.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,101.39,20.87,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-27.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,128.15,24.45,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-29.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,139.88,19.56,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-34.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,114.92,19.79,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-39.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,123.44,17.32,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-49.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,177.86,14.60,720,480,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-56.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,166.65,14.24,720,497,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-69.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,169.33,13.03,720,491,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-84.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,163.58,14.17,720,487,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-86.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,132.63,13.51,720,491,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-95.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,167.34,12.45,720,486,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/hidradenitis-suppurativa-97.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,182.52,12.12,720,477,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/milia-14.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,173.66,15.60,720,467,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/milia-19.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,183.23,16.86,720,474,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/minocycline-pigmentation-3.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,98.86,19.77,480,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-1.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,poor,139.22,17.53,720,480,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-116.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,160.76,21.47,466,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-121.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,119.28,18.60,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-123.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,53.89,59.17,720,498,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-2.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,140.11,21.91,720,480,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-23.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,83.33,19.96,480,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-24.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,88.77,25.78,480,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-29.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,78.18,23.00,720,480,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-33.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,138.05,22.38,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-42.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,121.58,25.08,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-57.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,48.56,39.74,427,544,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/perioral-dermatitis-85.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,121.37,18.62,720,469,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/rosacea-104.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,169.59,25.13,475,720,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/rosacea-29.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,127.82,22.14,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/rosacea-31.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,93.59,19.24,720,472,no,folder_inference,auto_complete,no
archive (1)/test/Acne and Rosacea Photos/rosacea-36.jpg,archive (1),test,Acne and Rosacea Photos,inflammatory,yes,fair,129.64,25.64,720,472,no,folder_inference,auto_complete,no
